name,Batch-C-01,Batch-C-02,Batch-C-03,Batch-C-04,Batch-C-05,Batch-C-06,Batch-C-07,Batch-C-08,Batch-C-09,Batch-C-10,Batch-C-11,Batch-C-12,Batch-C-13,Batch-C-14,Batch-C-15,mz,rt
C_234,644.9937744,2944.689255,823.8610748,538.8088395,6381.841079,202.9881863,401.3839831,1929.598532,346.6206224,201.2580824,260.0850976,83.03006256,221.1105363,2748.221372,506.6073121,341.042891,110.1860035
C_235,5455.445332,6333.430587,3764.206195,3662.458443,10209.94123,3250.296123,3361.142218,5778.445875,1848.177779,815.0339217,7663.23014,2511.529551,3991.739426,2682.443801,2650.733235,344.0605504,51.28900172
C_236,340.3075022,2277.354922,297.6451952,447.6467558,1134.357994,1279.266738,278.6126153,1354.397778,220.2288375,241.2848209,1113.648839,453.2875369,318.2042253,440.7547502,196.4951971,352.1383145,162.0219959
C_237,9785.177313,10038.40913,3970.393548,15005.06603,11041.48364,7098.910108,1127.528897,6110.931485,2623.941819,1064.546415,21225.32113,2039.790011,3380.525491,14365.06461,3459.786842,356.2407917,326.6449908
C_238,1254.331152,1293.491319,1182.540948,926.601387,864.6082796,1121.97295,1413.95157,623.7362218,761.9472439,565.7354599,409.6954074,712.2539169,830.0331435,555.9553199,371.6901668,356.9525888,37.3164988
C_239,936.2068534,5338.537815,412.7499857,3052.275327,520.0103119,723.2565911,399.7425827,2207.983054,447.9998711,1830.576323,1598.916023,542.9915775,488.5000994,2775.312378,609.4151296,357.1034546,118.9420024
C_240,14755.24593,32391.47733,5696.777946,55278.12812,33253.45893,16359.35575,1475.692944,13156.86669,2883.394073,2393.086942,34505.1947,3481.267797,9589.304511,54527.34284,5122.189753,358.2604942,335.5695037
C_241,3858.448752,7541.278387,4170.237676,12337.49232,8300.992093,4213.640343,419.8650745,3591.174139,776.9167226,760.3422999,8818.25973,1013.371855,2466.991663,13997.35453,1547.501786,359.2623433,335.6319863
C_242,2290.485805,2616.832405,1139.807814,3081.241908,2432.898018,2734.070524,263.1264934,1211.369037,329.9918652,278.105179,2166.452988,502.4294286,1006.685788,3602.508493,488.8528975,360.2663883,333.286499
C_243,488.2892304,550.3626276,482.8437631,256.5040519,617.0459404,571.6142834,705.5643644,598.7431975,510.2941225,579.296169,349.9582377,529.5200972,440.3733745,574.8432892,591.3130588,360.3635558,452.4384947
C_244,1224.399081,1057.256598,497.3188743,1676.401235,7080.101482,718.4395018,237.2481056,1208.744771,407.8829146,548.0755821,1211.241015,360.5144858,425.2687436,718.150255,360.761085,362.0985449,152.3169947
C_245,2854.982294,1285.751867,293.9631615,3502.465214,6082.970452,5064.616405,164.143164,4240.197848,636.6995481,448.4417734,854.199649,404.3076027,1778.07078,1555.407156,1000.867215,368.1385884,317.7929938
C_246,4976.581978,7545.430685,4812.895148,10231.3748,17088.84316,12802.45459,1517.544489,6856.066456,3670.598906,814.512697,6070.277403,2929.648347,2693.766315,1516.910664,3142.247588,371.1668134,285.6095036
C_247,550.9246294,529.6878914,459.154556,948.7904397,802.9037892,721.1412545,414.4217614,665.4732655,548.2909781,349.0096172,443.9600962,604.3257625,708.4340645,393.3328143,195.2709989,372.9081469,35.20299969
C_248,884.6577314,1049.623903,282.4127576,1907.055435,1630.510302,486.3607986,557.1827003,1079.185568,105.5982446,196.2917786,1159.122494,205.2635029,289.3371282,1240.474923,420.7605736,376.2435077,284.4829962
C_249,84.30549053,4270.201481,2182.700522,130.6451395,488.9035695,87.38307029,1416.04982,6977.335513,254.7398085,480.169693,141.0247857,105.7127735,87.63611005,1543.85916,110.1346609,377.028695,108.642998
C_250,662.8682768,3186.247995,376.1543158,1726.070137,639.9679414,470.4514851,307.4211133,1685.127633,531.3099575,982.779596,757.626755,491.6523251,572.2430954,1365.81523,405.1995499,379.0880876,118.0890024
